deal_id,account_id,company_name,industry,employee_band,business_model,geography,company_stage,dscr,debt_to_ebitda_ratio,years_in_business,collateral_type,loan_purpose,existing_banking_relationship,credit_rating,outcome,deal_created_date,deal_closed_date,referred_by_portfolio,loan_amount_band,prior_default_flag,referral_source_quality
D001,acc_001,Company_1,Technology,51-200,B2B,Northeast,mature,1.59,2.41,18,real_estate,equipment_financing,yes,AAA,won,2023-12-18,2022-10-14,no,under_1m,no,low
D002,acc_002,Company_2,Technology,201-500,B2B,Midwest,mature,1.93,2.07,33,equipment,equipment_financing,yes,BBB,won,2023-05-26,2022-03-23,no,5m_20m,no,low
D003,acc_003,Company_3,Healthcare,51-200,B2B,West,mature,1.58,1.72,22,equipment,acquisition,yes,A,won,2021-12-15,2024-02-13,no,5m_20m,no,none
D004,acc_004,Company_4,Manufacturing,201-500,B2B,Southeast,mature,2.0,1.09,18,equipment,working_capital,yes,AA,won,2021-07-09,2023-11-27,no,5m_20m,no,low
D005,acc_005,Company_5,Technology,201-500,B2B,West,mature,1.69,2.78,31,real_estate,acquisition,yes,AA,won,2023-12-08,2022-08-13,no,1m_5m,no,low
D006,acc_006,Company_6,Manufacturing,201-500,B2B,Southwest,mature,2.08,2.53,23,equipment,working_capital,yes,AA,won,2023-12-11,2022-11-16,no,1m_5m,no,low
D007,acc_007,Company_7,Manufacturing,51-200,B2B,Northeast,mature,2.02,2.02,34,equipment,acquisition,yes,BBB,won,2022-04-05,2024-08-03,no,1m_5m,no,none
D008,acc_008,Company_8,Healthcare,500+,B2B,Midwest,mature,1.92,1.73,30,equipment,acquisition,yes,A,won,2023-01-22,2024-02-22,no,5m_20m,yes,none
D009,acc_009,Company_9,Healthcare,500+,B2B,West,mature,1.62,1.01,34,equipment,acquisition,yes,AA,won,2023-02-28,2024-05-27,no,1m_5m,no,none
D010,acc_010,Company_10,Manufacturing,51-200,B2B,Southeast,mature,1.88,2.48,27,real_estate,acquisition,yes,A,won,2022-01-04,2023-05-08,no,under_1m,yes,none
