account_id,company_name,industry,employee_band,business_model,geography,company_stage,dscr,debt_to_ebitda_ratio,years_in_business,collateral_type,loan_purpose,existing_banking_relationship,credit_rating,deal_created_date,referred_by_portfolio,loan_amount_band,prior_default_flag,referral_source_quality
acc_201,LeadCo_201,Manufacturing,11-50,B2B,Midwest,mature,1.66,5.37,17,unsecured,acquisition,yes,BB,2024-07-13,yes,over_20m,no,high
acc_202,LeadCo_202,Healthcare,11-50,B2B,Southwest,mature,1.89,4.96,18,unsecured,expansion,yes,B,2024-07-24,no,under_1m,no,low
acc_203,LeadCo_203,Manufacturing,11-50,B2C,West,mature,1.57,1.48,29,unsecured,equipment_financing,no,AAA,2024-06-13,no,5m_20m,no,low
acc_204,LeadCo_204,Retail,1-10,B2B,Southeast,mature,0.94,3.84,15,receivables,working_capital,no,B,2024-04-23,no,under_1m,no,low
acc_205,LeadCo_205,Retail,1-10,B2C,Midwest,growth,-0.5,1.81,5,receivables,equipment_financing,yes,B,2024-05-20,no,1m_5m,no,none
acc_206,LeadCo_206,Logistics,11-50,B2B2C,West,startup,1.23,5.67,25,equipment,acquisition,no,AAA,2024-05-18,no,under_1m,yes,low
acc_207,LeadCo_207,Retail,201-500,B2B,Midwest,growth,0.96,1.7,6,inventory,equipment_financing,yes,BB,2024-03-10,no,5m_20m,yes,none
acc_208,LeadCo_208,Food_Beverage,201-500,B2C,Midwest,growth,0.81,4.21,7,equipment,working_capital,no,B,2024-10-27,no,over_20m,no,none
acc_209,LeadCo_209,Construction,51-200,B2B,Southeast,mature,1.77,3.3,8,receivables,working_capital,no,BBB,2024-04-10,yes,5m_20m,yes,high
acc_210,LeadCo_210,Retail,51-200,B2C,West,growth,1.84,1.96,11,receivables,acquisition,no,AA,2024-09-10,no,over_20m,no,none
acc_211,LeadCo_211,Construction,51-200,B2B2C,Southwest,mature,0.76,5.46,12,equipment,refinancing,no,B,2024-04-12,no,over_20m,yes,low
acc_212,LeadCo_212,Construction,11-50,B2C,Southwest,mature,1.39,3.81,1,unsecured,acquisition,no,AA,2024-02-17,no,under_1m,yes,none
acc_213,LeadCo_213,Construction,11-50,B2B,Southwest,growth,1.45,3.39,2,equipment,expansion,no,A,2024-05-03,no,1m_5m,no,none
acc_214,LeadCo_214,Food_Beverage,51-200,B2B,Midwest,growth,1.77,3.78,23,receivables,equipment_financing,no,BB,2024-08-28,no,over_20m,no,none
acc_215,LeadCo_215,Manufacturing,51-200,B2C,Northeast,mature,1.04,3.01,15,real_estate,acquisition,no,B,2024-02-18,yes,under_1m,no,high
acc_216,LeadCo_216,Food_Beverage,1-10,B2C,West,startup,0.95,2.38,19,inventory,equipment_financing,no,AAA,2024-07-09,yes,over_20m,no,high
acc_217,LeadCo_217,Logistics,500+,B2B,West,growth,1.33,2.04,9,inventory,acquisition,yes,B,2024-04-04,yes,under_1m,no,high
acc_218,LeadCo_218,Food_Beverage,11-50,B2B2C,West,mature,1.4,5.56,2,unsecured,equipment_financing,no,AAA,2024-03-05,no,5m_20m,no,none
acc_219,LeadCo_219,Professional_Services,11-50,B2C,Northeast,startup,0.97,5.7,4,equipment,acquisition,no,B,2024-04-10,yes,under_1m,no,high
acc_220,LeadCo_220,Manufacturing,51-200,B2B,Southeast,growth,1.28,6.66,9,inventory,acquisition,no,A,2024-03-25,no,under_1m,no,low
acc_221,LeadCo_221,Logistics,1-10,B2C,Midwest,startup,0.84,4.66,12,unsecured,equipment_financing,yes,A,2024-07-26,no,over_20m,no,none
acc_222,LeadCo_222,Food_Beverage,11-50,B2B,Midwest,startup,1.83,1.98,8,unsecured,working_capital,no,AAA,2024-09-23,yes,under_1m,no,high
acc_223,LeadCo_223,Retail,1-10,B2B2C,Northeast,growth,1.51,4.02,2,receivables,working_capital,yes,BB,2024-03-06,no,1m_5m,no,low
acc_224,LeadCo_224,Logistics,500+,B2C,Southeast,startup,1.32,5.29,20,real_estate,refinancing,yes,AA,2024-07-05,no,1m_5m,no,low
acc_225,LeadCo_225,Retail,51-200,B2B,West,growth,1.15,5.03,8,unsecured,acquisition,yes,AA,2024-12-08,no,1m_5m,no,none
